# Om  Ob  h  ns w0 wa s8
468687.2389157537 -779051.8832198828 418522.6403592660 149376.9402277011 -14208.1826410944 3825.9264157783 -127086.6826544509
-779051.8832198377 2656536.4942083657 -626422.2734548643 -281543.4439031027 -18031.5662611681 -5588.7615135954 36353.1094288293
418522.6403594794 -626422.2734550961 1634961.7981245967 41948.0044377105 45866.4110014920 31146.0288291376 -394204.0352612357
149376.9402276821 -281543.4439031001 41948.0044376367 64298.3883566971 -7804.5725133471 -1014.1474536565 -18076.3129250702
-14208.1826410840 -18031.5662611758 45866.4110015143 -7804.5725133454 5521.7428462895 1380.4378624902 -1690.7964892562
3825.9264157823 -5588.7615135992 31146.0288291392 -1014.1474536553 1380.4378624898 703.8742152254 -6946.4520441744
-127086.6826544839 36353.1094288680 -394204.0352611787 -18076.3129250861 -1690.7964892498 -6946.4520441730 132764.9606854792
