3  7.52012	-1.089642e+00	3.303998e-01	4.996521e-02	6.691931e-01	9.715034e-01	8.187589e-01	3.134865e-01	-2.029836e+01	-1.589447e+01	-1.302963e+01	-1.046986e+01	-3.202920e-01	-3.114870e-01	-3.075951e-01	-3.166240e-01	
1  5.00112	-1.017559e+00	1.199539e-01	4.914026e-02	6.657087e-01	9.570784e-01	8.036009e-01	3.206797e-01	-1.975693e+01	-1.802539e+01	-1.705265e+01	-1.638230e+01	-3.314059e-01	-3.222623e-01	-3.181026e-01	-3.268416e-01	
10  3.88809	-9.242098e-01	-1.872321e-01	5.059947e-02	6.642393e-01	9.545854e-01	7.948370e-01	3.276693e-01	-2.820658e+01	-3.140181e+01	-3.390596e+01	-3.629774e+01	-3.386543e-01	-3.288320e-01	-3.241654e-01	-3.324130e-01	
1  4.69791	-9.242098e-01	-1.872321e-01	5.059947e-02	6.642393e-01	9.545854e-01	7.948370e-01	3.276693e-01	-2.238446e+01	-3.161029e+01	-3.565070e+01	-2.712424e+01	-3.392924e-01	-3.297870e-01	-3.241181e-01	-3.342055e-01	
23  3.48385	-1.001385e+00	-1.184876e-02	4.961590e-02	6.669331e-01	9.586291e-01	8.076648e-01	3.200981e-01	-1.643681e+01	-2.163468e+01	-2.220895e+01	-1.007133e+01	-3.279965e-01	-3.188253e-01	-3.134796e-01	-3.239542e-01	
1  4.51439	-1.001385e+00	-1.184876e-02	4.961590e-02	6.669331e-01	9.586291e-01	8.076648e-01	3.200981e-01	-1.431643e+01	-3.077783e+01	-2.475154e+01	-4.299364e+01	-3.290478e-01	-3.181881e-01	-3.124079e-01	-3.210200e-01	
5  5.47477	-1.001385e+00	-1.184876e-02	4.961590e-02	6.669331e-01	9.586291e-01	8.076648e-01	3.200981e-01	-1.690819e-01	-4.483006e+01	-2.109004e+01	-1.377814e+01	-3.293977e-01	-3.158690e-01	-3.117368e-01	-3.218859e-01	
2  5.54307	-1.001385e+00	-1.184876e-02	4.961590e-02	6.669331e-01	9.586291e-01	8.076648e-01	3.200981e-01	3.810622e+00	-3.637181e+01	-1.104053e+01	-2.310060e+01	-3.296083e-01	-3.164872e-01	-3.132675e-01	-3.202227e-01	
3  4.59631	-9.496147e-01	-5.171056e-02	5.132698e-02	6.661985e-01	9.585185e-01	8.122455e-01	3.280460e-01	2.222062e+00	-4.031984e+01	-1.766931e+01	-3.286592e+01	-3.421278e-01	-3.290031e-01	-3.256673e-01	-3.324399e-01	
6  5.97146	-9.950687e-01	-2.128896e-02	4.906335e-02	6.662203e-01	9.628386e-01	8.029197e-01	3.184944e-01	-1.200005e+01	-5.385597e+01	-3.001432e+01	-4.368782e+01	-3.282379e-01	-3.149585e-01	-3.115856e-01	-3.183272e-01	
4  7.48422	-9.950687e-01	-2.128896e-02	4.906335e-02	6.662203e-01	9.628386e-01	8.029197e-01	3.184944e-01	-1.630446e+01	-6.292316e+01	-1.121920e+01	-5.623526e+01	-3.281929e-01	-3.141015e-01	-3.120847e-01	-3.180683e-01	
5  10.4041	-9.950687e-01	-2.128896e-02	4.906335e-02	6.662203e-01	9.628386e-01	8.029197e-01	3.184944e-01	-4.811639e+00	-4.285522e+01	4.417943e+00	-6.793926e+01	-3.302964e-01	-3.152248e-01	-3.149346e-01	-3.162141e-01	
6  9.15147	-1.062851e+00	1.659375e-01	4.916387e-02	6.691959e-01	9.703129e-01	8.140926e-01	3.129371e-01	1.124233e+00	-3.400187e+01	1.529132e+01	-5.535407e+01	-3.208321e-01	-3.061281e-01	-3.061290e-01	-3.077075e-01	
2  11.5493	-1.062851e+00	1.659375e-01	4.916387e-02	6.691959e-01	9.703129e-01	8.140926e-01	3.129371e-01	1.311887e+01	-2.550167e+01	-2.854874e+01	-8.124557e+01	-3.214933e-01	-3.071719e-01	-3.032575e-01	-3.050910e-01	
2  12.1039	-1.062851e+00	1.659375e-01	4.916387e-02	6.691959e-01	9.703129e-01	8.140926e-01	3.129371e-01	1.056484e+01	-6.704072e+01	-3.701829e+01	-9.047379e+01	-3.209606e-01	-3.034104e-01	-3.026912e-01	-3.052258e-01	
3  10.2876	-1.062851e+00	1.659375e-01	4.916387e-02	6.691959e-01	9.703129e-01	8.140926e-01	3.129371e-01	-9.515211e+00	-5.793004e+01	-7.817375e+01	-6.771372e+01	-3.189273e-01	-3.052392e-01	-2.999869e-01	-3.066210e-01	
2  9.86542	-9.433275e-01	-1.326399e-01	5.207727e-02	6.677465e-01	9.620364e-01	8.086725e-01	3.252745e-01	1.331445e+01	-3.954272e+01	-6.297767e+01	-5.500376e+01	-3.364205e-01	-3.222453e-01	-3.166118e-01	-3.229530e-01	
3  10.7525	-8.849739e-01	-2.680659e-01	5.314517e-02	6.663130e-01	9.547934e-01	8.047954e-01	3.341770e-01	1.284815e+01	-4.226455e+01	-6.797007e+01	-6.284216e+01	-3.471808e-01	-3.328788e-01	-3.270850e-01	-3.332036e-01	
