# Om  Ob  h  ns w0 wa s8 lnbs81 Ps1 lnbs82 Ps2 lnbs83 Ps3 lnbs84 Ps4
2283390.8599157277 -1639129.9558597240 -4028351.8925758051 309150.3356975654 244036.0478225756 60904.7499582264 326433.6088443832 616640.0043134419 66.2622071574 635218.4042679007 64.6918124154 554909.7577015897 54.1124211562 520883.2188041492 49.4653995649
-1639129.9558597240 4647129.6726501929 88545.7908535055 -883532.1354167908 70939.8837638155 19435.4210769361 7717.7012742203 -86499.7333855622 -39.5286922549 -46357.0188784789 -36.1411289838 18786.0177733806 -27.5824253106 144888.8117932392 -21.0289351369
-4028351.8925758051 88545.7908535055 13814098.1219741777 114035.6314811882 -775185.1660933578 -154266.1328600695 -1677086.9536657911 -1856704.9873466494 -170.7368724524 -1821413.3678308961 -157.8413155913 -1553178.3800390689 -126.0200376362 -1491967.6238140916 -110.9602620556
309150.3356975654 -883532.1354167908 114035.6314811882 253518.6289650745 -55586.5438351444 -13330.5536499992 -40182.5258449808 -18683.8131471096 8.5434099746 -31014.9156908306 7.5139910857 -44300.1753922252 5.4173034484 -79036.0341455469 3.5803731923
244036.0478225756 70939.8837638155 -775185.1660933578 -55586.5438351444 70856.6753730948 16484.3757922457 88048.0305194252 124574.8589739927 8.6506998029 128789.5359620947 8.6818331126 114640.6424062417 7.3766662905 116383.4909578718 6.9248774085
60904.7499582264 19435.4210769361 -154266.1328600695 -13330.5536499992 16484.3757922457 4219.4247396049 13412.5379455357 25572.7415186294 1.6826583484 28799.0448767845 1.8615277759 27175.7600983658 1.6925435309 28990.1330905011 1.6846567455
326433.6088443832 7717.7012742203 -1677086.9536657911 -40182.5258449808 88048.0305194252 13412.5379455357 269070.5187345692 201135.2560057448 17.7064516293 193897.3941120141 16.0231944780 163907.8387805463 12.5963704463 159213.5324902545 11.0548336482
616640.0043134419 -86499.7333855622 -1856704.9873466494 -18683.8131471096 124574.8589739927 25572.7415186294 201135.2560057448 1012030.7885338939 84.3066747807 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
66.2622071574 -39.5286922549 -170.7368724524 8.5434099746 8.6506998029 1.6826583484 17.7064516293 84.3066747807 0.0093735782 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
635218.4042679007 -46357.0188784789 -1821413.3678308961 -31014.9156908306 128789.5359620947 28799.0448767845 193897.3941120141 0.0000000000 0.0000000000 1018538.0634145504 80.4910082754 0.0000000000 0.0000000000 0.0000000000 0.0000000000
64.6918124154 -36.1411289838 -157.8413155913 7.5139910857 8.6818331126 1.8615277759 16.0231944780 0.0000000000 0.0000000000 80.4910082754 0.0085484212 0.0000000000 0.0000000000 0.0000000000 0.0000000000
554909.7577015897 18786.0177733806 -1553178.3800390689 -44300.1753922252 114640.6424062417 27175.7600983658 163907.8387805463 0.0000000000 0.0000000000 0.0000000000 0.0000000000 892131.1174298398 66.4177730757 0.0000000000 0.0000000000
54.1124211562 -27.5824253106 -126.0200376362 5.4173034484 7.3766662905 1.6925435309 12.5963704463 0.0000000000 0.0000000000 0.0000000000 0.0000000000 66.4177730757 0.0067381831 0.0000000000 0.0000000000
520883.2188041492 144888.8117932392 -1491967.6238140916 -79036.0341455469 116383.4909578718 28990.1330905011 159213.5324902545 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 886331.7160194884 60.8605926097
49.4653995649 -21.0289351369 -110.9602620556 3.5803731923 6.9248774085 1.6846567455 11.0548336482 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 60.8605926097 0.0058850146
