# Om  Ob w0  wa h  ns  s8
383311.5263526517 -640410.5991366917 -9523.4899868985 3948.7095910690 253478.6082893912 104823.9579605196 -102164.1561878676
-640410.5991366645 2656756.4814138496 -16974.5127644988 649.7795422766 -344512.5003495784 -262826.5074452148 -73518.4192126584
-9523.4899869015 -16974.5127644934 6565.8470251076 1962.0223857866 61221.3763015148 -9151.9029381210 -7706.2218152783
3948.7095910684 649.7795422774 1962.0223857866 1014.5290554576 33464.9307448848 -3172.6298710742 -9754.0670783404
253478.6082893796 -344512.5003495876 61221.3763015158 33464.9307448846 1237661.4054195248 -58929.4910629356 -356113.9848519466
104823.9579605179 -262826.5074452208 -9151.9029381200 -3172.6298710741 -58929.4910629384 58980.7630604532 15201.4185668911
-102164.1561878694 -73518.4192126439 -7706.2218152787 -9754.0670783404 -356113.9848519486 15201.4185668880 154035.5506366027
