# Om  Ob  w0 wa h  ns s8 lnbs81 Ps1 lnbs82 Ps2 lnbs83 Ps3 lnbs84 Ps4
3711289.9818725688 -2844054.3059239821 351253.6650284622 83825.4164721035 -6227266.8042446785 700841.4022637588 584436.1746047030 1024802.2381566379 130.7279976305 1022937.6665042834 123.8996307736 865709.3922536109 100.0971755545 782228.4595882758 87.2175989976
-2844054.3059239821 5927265.9557201387 -14442.2067170379 7827.1212437230 2455523.9213784421 -1273718.8796376828 -320433.9627514763 -472484.9192574715 -101.9108507536 -404117.6917594058 -91.8674200682 -259760.9805826746 -69.7501592103 -78065.7260094568 -54.4645190116
351253.6650284622 -14442.2067170379 81491.7445254170 18858.9978076793 -904759.4483335814 -30002.1674686591 107376.4694460823 150554.4192416544 12.2919632594 157975.8109672404 12.4998881389 141032.0649736601 10.5978436383 141968.4440703965 9.8270657069
83825.4164721035 7827.1212437230 18858.9978076793 5035.9023306040 -164640.4563316191 -9765.0178651667 12412.4317141650 29057.5129694808 2.2513651238 33445.7906423130 2.5404769460 31861.2628584515 2.3179194580 33916.1609383783 2.2846888212
-6227266.8042446785 2455523.9213784421 -904759.4483335814 -164640.4563316191 17572364.6595677212 -681097.7596977591 -2343844.8621461228 -2574973.5105932415 -279.9061846463 -2483962.2595872525 -255.0057913813 -2069400.0739054128 -199.2219775241 -1913253.6848596041 -168.8502172777
700841.4022637588 -1273718.8796376828 -30002.1674686591 -9765.0178651667 -681097.7596977591 382305.6909546324 59446.6318791826 104831.3735011713 29.3947433167 83704.8625929807 26.3169397370 44621.4750378492 19.7010777518 -8647.1779244274 14.9543935000
584436.1746047030 -320433.9627514763 107376.4694460823 12412.4317141650 -2343844.8621461228 59446.6318791826 413182.3125082653 307011.9337071898 31.2044568160 291673.0301856652 27.9285903738 241124.9838486529 21.5535030527 225272.1532899605 18.3072242135
1024802.2381566379 -472484.9192574715 150554.4192416544 29057.5129694808 -2574973.5105932415 104831.3735011713 307011.9337071898 1435237.0628549799 146.8313288929 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
130.7279976305 -101.9108507536 12.2919632594 2.2513651238 -279.9061846463 29.3947433167 31.2044568160 146.8313288929 0.0199839392 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1022937.6665042834 -404117.6917594058 157975.8109672404 33445.7906423130 -2483962.2595872525 83704.8625929807 291673.0301856652 0.0000000000 0.0000000000 1421305.0232397423 137.6189668091 0.0000000000 0.0000000000 0.0000000000 0.0000000000
123.8996307736 -91.8674200682 12.4998881389 2.5404769460 -255.0057913813 26.3169397370 27.9285903738 0.0000000000 0.0000000000 137.6189668091 0.0179285859 0.0000000000 0.0000000000 0.0000000000 0.0000000000
865709.3922536109 -259760.9805826746 141032.0649736601 31861.2628584515 -2069400.0739054128 44621.4750378492 241124.9838486529 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1216295.1600224695 110.5947599225 0.0000000000 0.0000000000
100.0971755545 -69.7501592103 10.5978436383 2.3179194580 -199.2219775241 19.7010777518 21.5535030527 0.0000000000 0.0000000000 0.0000000000 0.0000000000 110.5947599225 0.0137998816 0.0000000000 0.0000000000
782228.4595882758 -78065.7260094568 141968.4440703965 33916.1609383783 -1913253.6848596041 -8647.1779244274 225272.1532899605 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1162248.4912970948 96.9262347232
87.2175989976 -54.4645190116 9.8270657069 2.2846888212 -168.8502172777 14.9543935000 18.3072242135 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 96.9262347232 0.0115719036
