# Om  Ob w0  wa h  ns  s8
570855.3529923940 -848607.1510684771 -9160.4505474025 7766.5004356996 445575.8731687242 155976.8464481641 -160042.6788693147
-848607.1510684546 3185971.7748423712 -1009.8799086592 5591.2898334389 -276780.5583386047 -388029.1307103224 -86762.5135192454
-9160.4505473980 -1009.8799086648 8313.2611402015 2722.1384468708 84030.4147703768 -13312.1006950639 -13539.0535423925
7766.5004357019 5591.2898334353 2722.1384468706 1451.2133327933 48232.9670945412 -4435.3148569351 -13766.2883577093
445575.8731687976 -276780.5583387287 84030.4147703726 48232.9670945411 1783308.1188934029 -77764.8183908545 -506238.2986793513
155976.8464481502 -388029.1307103055 -13312.1006950654 -4435.3148569362 -77764.8183908902 89923.2299046939 18387.2089715966
-160042.6788693360 -86762.5135192054 -13539.0535423905 -13766.2883577090 -506238.2986793424 18387.2089715855 196056.0578567625
