# Om  Ob  h  ns w0 wa s8 lnbs81 Ps1 lnbs82 Ps2 lnbs83 Ps3 lnbs84 Ps4
3293971.3558533066 -2432855.9173134440 -5791013.5262613855 580622.5124297703 316931.8252478777 79570.8346104661 437527.3255445032 894563.2375649365 127.3805224769 894993.4761647405 119.6535269033 755871.8787579845 95.5371531552 677998.9082114899 81.8064286576
-2432855.9173134440 5353726.0736720227 1782891.8422730754 -1117053.2833571811 15515.5153183762 7614.3166503395 -123588.5375617215 -327170.8408683740 -96.9294734905 -263373.1846706533 -85.9185197155 -143789.8418116259 -63.7618496217 22535.7524369098 -47.9795881095
-5791013.5262613855 1782891.8422730754 18408326.7327041700 -456275.0039089191 -887096.1669546692 -172016.0684437980 -2081894.7707550018 -2428837.9360632086 -318.4026918442 -2333081.4610243663 -284.0684572477 -1932495.9538945197 -216.2252774166 -1773952.7750697995 -176.8439885403
580622.5124297703 -1117053.2833571811 -456275.0039089191 332898.0615236963 -36980.1613556849 -9268.0755498085 2879.6410228170 61998.5912622102 27.6961471480 42541.2039101941 24.3347687702 11247.1440439756 17.7578642895 -36718.2845233124 12.9072258856
316931.8252478777 15515.5153183762 -887096.1669546692 -36980.1613556849 76751.1238753304 18068.5407908147 94030.8611260467 144273.8343903092 12.3486309351 147491.8096062407 12.3612546656 128981.5753200548 10.2755002225 127413.6787991810 9.2492450406
79570.8346104661 7614.3166503395 -172016.0684437980 -9268.0755498085 18068.5407908147 4726.4590293119 13430.9365805289 29776.3743259163 2.3164453528 33132.7068815147 2.5806657761 30712.7649290113 2.3161296432 31845.2198831426 2.2244647843
437527.3255445032 -123588.5375617215 -2081894.7707550018 2879.6410228170 94030.8611260467 13430.9365805289 311011.2618482953 242701.0310884881 29.8236441760 230289.9900899792 26.1158325589 190365.5822255404 19.6247089442 178678.2139485212 16.0894487224
894563.2375649365 -327170.8408683740 -2428837.9360632086 61998.5912622102 144273.8343903092 29776.3743259163 242701.0310884881 1272144.0989358451 143.3587500939 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
127.3805224769 -96.9294734905 -318.4026918442 27.6961471480 12.3486309351 2.3164453528 29.8236441760 143.3587500939 0.0240097948 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
894993.4761647405 -263373.1846706533 -2333081.4610243663 42541.2039101941 147491.8096062407 33132.7068815147 230289.9900899792 0.0000000000 0.0000000000 1257023.8590552302 132.8283444023 0.0000000000 0.0000000000 0.0000000000 0.0000000000
119.6535269033 -85.9185197155 -284.0684572477 24.3347687702 12.3612546656 2.5806657761 26.1158325589 0.0000000000 0.0000000000 132.8283444023 0.0209784972 0.0000000000 0.0000000000 0.0000000000 0.0000000000
755871.8787579845 -143789.8418116259 -1932495.9538945197 11247.1440439756 128981.5753200548 30712.7649290113 190365.5822255404 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1073499.2539090547 105.2270392291 0.0000000000 0.0000000000
95.5371531552 -63.7618496217 -216.2252774166 17.7578642895 10.2755002225 2.3161296432 19.6247089442 0.0000000000 0.0000000000 0.0000000000 0.0000000000 105.2270392291 0.0156457528 0.0000000000 0.0000000000
677998.9082114899 22535.7524369098 -1773952.7750697995 -36718.2845233124 127413.6787991810 31845.2198831426 178678.2139485212 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1025197.5596388055 90.4476868060
81.8064286576 -47.9795881095 -176.8439885403 12.9072258856 9.2492450406 2.2244647843 16.0894487224 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 90.4476868060 0.0125766005
