,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20287960.1742632,-12955758.559893865,3362540.1435167487,4290649.015749036,23947686.443653453,2086866.7936472986,511128.70054135704,-886374.9886174235,373557.4002517718,585420.5034624465,689941.5210826911,726968.8156390104,775608.0695533516,695063.7097478568,784584.7340016052,708086.7671452336,444953.6263646984,17721.014501728652,10020.69639853977,31061.016132853794
Omegab,-12955758.559893865,20414731.68199619,-5093395.061783973,-6017483.233551531,-36370723.056411065,-6350950.217077443,-1318757.533772908,-2548895.549719923,-2065066.5983562684,-1635511.6503994477,-1534307.220365248,-1394477.9929166308,-1358124.9704407176,-1140005.337950833,-1219447.8965594964,-1042914.2304546547,-605291.6154749303,281.31999111487727,-1905.330402304544,-291.1715790902615
h,3362540.1435167487,-5093395.061783973,1309480.795578954,1659960.0539065378,9244717.906103117,1580402.0585391975,323695.19751345343,767837.2976502837,552444.9783508199,413624.34901669703,374609.27954438096,332967.9492819711,319560.8715435746,266113.9930940533,283370.2866830447,241402.3119525541,139049.68607080844,-198.63177749664425,595.1138880076478,-79.19875004665673
ns,4290649.015749036,-6017483.233551531,1659960.0539065378,2682792.5827799854,10653252.976496827,1638117.775188902,304378.1049992647,1527962.1467147707,862037.1320901953,529240.2383036603,397192.6571756697,292663.6996171485,232302.4880703236,160197.45400669548,138516.05579181598,88316.17636533917,25820.024412913663,-874.2705396368073,1192.087296062377,-890.9475092136615
sigma8,23947686.443653453,-36370723.056411065,9244717.906103117,10653252.976496827,80886102.03394374,14150372.11924351,2894617.6743221423,6112777.154856104,5175220.385334603,4050667.321997046,3691669.665406093,3228204.8391757202,3007077.3490102957,2415597.0678516137,2478694.3532122513,2055825.5348606647,1245633.8315030108,413.3492111598663,3357.4279146549097,1920.063233455072
w0,2086866.7936472986,-6350950.217077443,1580402.0585391975,1638117.775188902,14150372.11924351,2959040.901291446,610577.3161995136,1188640.6815333427,994933.4002011456,791105.4053050303,732879.3607314205,648943.3539341076,612654.5418493625,498107.17952654074,517110.83503470797,434514.67595878383,267960.7042464097,1382.8201676005428,-496.92776132070225,1946.8667599074179
wa,511128.70054135704,-1318757.533772908,323695.19751345343,304378.1049992647,2894617.6743221423,610577.3161995136,130267.61103852307,164506.11702757343,169268.0374055648,148927.42703060526,147653.67832589807,138253.85447431728,136950.38935097994,116054.31575487745,125437.66993186365,110193.69329997817,71561.6438632847,506.63043414723035,-55.8369692857149,760.1612046598137
b1,-886374.9886174235,-2548895.549719923,767837.2976502837,1527962.1467147707,6112777.154856104,1188640.6815333427,164506.11702757343,3679737.5650571585,368596.0307764463,7459.043327937915,3083.09196389594,549.0181866064046,154.27946202492595,68.72431907159216,32.0569295494154,2.966030409578574,5.157046877580812,88.908390964618,-253.04252610603493,50.57514553080584
b2,373557.4002517718,-2065066.5983562684,552444.9783508199,862037.1320901953,5175220.385334603,994933.4002011456,169268.0374055648,368596.0307764463,1919934.3881986677,356405.35024335224,9274.620586354871,2414.549970475096,390.53538852203053,29.674918603364507,12.764015681076982,1.7526136822721636,1.8282351605696494,-31.661553098801928,32.7291503339835,-31.83230155865785
b3,585420.5034624465,-1635511.6503994477,413624.34901669703,529240.2383036603,4050667.321997046,791105.4053050303,148927.42703060526,7459.043327937915,356405.35024335224,1166477.845822907,342214.4141100496,8771.566878608517,2044.232692141904,296.1464790568554,29.572155853652355,6.259671933837655,0.8421110611762669,16.796596211028643,3.107199061881925,16.766008335972785
b4,689941.5210826911,-1534307.220365248,374609.27954438096,397192.6571756697,3691669.665406093,732879.3607314205,147653.67832589807,3083.09196389594,9274.620586354871,342214.4141100496,953850.4970281922,302946.4676929695,10594.27703649017,1812.1285250203825,248.67557648442465,17.960385929409423,5.070856532452525,5.009092429901399,-11.991152249404642,3.95051424867078
b5,726968.8156390104,-1394477.9929166308,332967.9492819711,292663.6996171485,3228204.8391757202,648943.3539341076,138253.85447431728,549.0181866064046,2414.549970475096,8771.566878608517,302946.4676929695,768713.7413495304,269010.8111985081,8370.40255937737,1685.5137785225352,135.15378089980618,11.054214235697692,-9.557302419462951,10.962579395973318,-4.693303255013722
b6,775608.0695533516,-1358124.9704407176,319560.8715435746,232302.4880703236,3007077.3490102957,612654.5418493625,136950.38935097994,154.27946202492595,390.53538852203053,2044.232692141904,10594.27703649017,269010.8111985081,707010.6950244675,232321.8822609444,11666.552492908984,1043.1261237655347,75.36952094785799,35.40605908849261,-51.73643148876088,37.121692675361594
b7,695063.7097478568,-1140005.337950833,266113.9930940533,160197.45400669548,2415597.0678516137,498107.17952654074,116054.31575487745,68.72431907159216,29.674918603364507,296.1464790568554,1812.1285250203825,8370.40255937737,232321.8822609444,525787.950929408,197921.2523946706,4903.615161821539,385.0499308524282,38.72614733222599,-51.20221758204546,45.858116182289855
