# Omegam h ns Omegab wa w0 sigma8 lnbgs8_1 lnbgs8_2 lnbgs8_3 lnbgs8_4 Ps_1 Ps_2 Ps_3 Ps_4
3294703.413393708	-5774988.185496134	581667.0121510846	-2444121.758727783	80378.77110077784	318477.941332316	437512.7728447638	894270.2006055487	895460.7481394643	756143.9686098169	677902.2499213943	127.38527692462328	119.7723949876094	95.64133514339707	81.87521465859146
-5774988.185496134	18315465.17326592	-453992.4302495122	1733361.856472598	-174968.53862610357	-888307.2258526417	-2076405.949035962	-2422019.5723299356	-2327610.2961344346	-1928474.609287078	-1770997.9290720487	-316.52448286295834	-282.5623675637471	-215.19316714100773	-176.1286802148227
581667.0121510846	-453992.4302495122	332798.6616754585	-1127870.5602758261	-9161.909978841497	-36182.0351903548	3488.207282810501	62524.71339775078	42976.17536900978	11552.031095787243	-36459.22083176687	27.756243240743657	24.383318732298996	17.793502398464515	12.933585725310543
-2444121.758727783	1733361.856472598	-1127870.5602758261	5408651.468132701	7599.518601430065	16572.668274280062	-112971.24977762089	-325810.5430091674	-260126.80854977784	-138984.67203407013	26727.881997716555	-98.68818612834812	-87.11063144798015	-64.44284098455911	-48.277654192975
80378.77110077784	-174968.53862610357	-9161.909978841497	7599.518601430065	4766.9186902054535	18214.37459502589	13850.702858673008	30246.27924184381	33514.873992726876	30939.08539480763	32073.219066073103	2.389438290788901	2.6345265550939176	2.355941034753082	2.2531355292155766
318477.941332316	-888307.2258526417	-36182.0351903548	16572.668274280062	18214.37459502589	76836.621213029	94017.07689484968	144744.56696626852	147714.85929162428	129209.05395964652	127504.88858689295	12.528696603499949	12.486261386880125	10.373831431224266	9.294056056861915
437512.7728447638	-2076405.949035962	3488.207282810501	-112971.24977762089	13850.702858673008	94017.07689484968	310468.33712954965	242330.54176738992	230145.18094682915	190182.1982349623	178618.94597541203	29.790095595895785	26.097730833999183	19.609337811640504	16.09332942700106
894270.2006055487	-2422019.5723299356	62524.71339775078	-325810.5430091674	30246.27924184381	144744.56696626852	242330.54176738992	1271985.1464024703	0.0	0.0	0.0	143.36139699144525	0.0	0.0	0.0
895460.7481394643	-2327610.2961344346	42976.17536900978	-260126.80854977784	33514.873992726876	147714.85929162428	230145.18094682915	0.0	1256876.4455954097	0.0	0.0	0.0	132.82795862123248	0.0	0.0
756143.9686098169	-1928474.609287078	11552.031095787243	-138984.67203407013	30939.08539480763	129209.05395964652	190182.1982349623	0.0	0.0	1073380.7189403763	0.0	0.0	0.0	105.22387817088274	0.0
677902.2499213943	-1770997.9290720487	-36459.22083176687	26727.881997716555	32073.219066073103	127504.88858689295	178618.94597541203	0.0	0.0	0.0	1025089.9065985259	0.0	0.0	0.0	90.44192607882567
127.38527692462328	-316.52448286295834	27.756243240743657	-98.68818612834812	2.389438290788901	12.528696603499949	29.790095595895785	143.36139699144525	0.0	0.0	0.0	0.024011545335356883	0.0	0.0	0.0
119.7723949876094	-282.5623675637471	24.383318732298996	-87.11063144798015	2.6345265550939176	12.486261386880125	26.097730833999183	0.0	132.82795862123248	0.0	0.0	0.0	0.020979946912635796	0.0	0.0
95.64133514339707	-215.19316714100773	17.793502398464515	-64.44284098455911	2.355941034753082	10.373831431224266	19.609337811640504	0.0	0.0	105.22387817088274	0.0	0.0	0.0	0.015646654028696975	0.0
81.87521465859146	-176.1286802148227	12.933585725310543	-48.277654192975	2.2531355292155766	9.294056056861915	16.09332942700106	0.0	0.0	0.0	90.44192607882567	0.0	0.0	0.0	0.012576878719214724
