# Omegam Omegab h ns sigma8 w0 wa AIA betaIA etaIA
9876721.863585897	-2650975.484141277	858558.0788926705	1612565.006441937	6930723.419551459	-388349.43730732717	-84870.4136789481	-9744.22848908877	14060.702675352717	-9664.264255301465
-2650975.484141277	936611.4626652616	-291113.9752654248	-550227.4099641484	-1796869.216914677	94408.64181675206	20600.97183812799	3677.7690826645107	-4240.673413301648	4071.091639288159
858558.0788926705	-291113.9752654248	92536.5488490472	179051.59477415757	582715.7518261608	-30526.697681507634	-6626.078333044491	-1129.7527573678253	1374.3463890978016	-1220.742055868415
1612565.006441937	-550227.4099641484	179051.59477415757	361738.5336040505	1076051.6756775982	-55488.6955633515	-11716.094666999395	-2215.3992290133315	2793.6788595741828	-2348.407283895927
6930723.419551459	-1796869.216914677	582715.7518261608	1076051.6756775982	4956409.058032716	-276672.2057542244	-62212.01970001785	-5808.206681232106	8616.158632612489	-5683.786645248454
-388349.43730732717	94408.64181675206	-30526.697681507634	-55488.6955633515	-276672.2057542244	16495.937769191005	3650.1333201753755	380.32028663737077	-475.5159922942029	406.6395165398842
-84870.4136789481	20600.97183812799	-6626.078333044491	-11716.094666999395	-62212.01970001785	3650.1333201753755	856.3602634237234	54.992308501998984	-72.27244062027718	58.11951366498289
-9744.22848908877	3677.7690826645107	-1129.7527573678253	-2215.3992290133315	-5808.206681232106	380.32028663737077	54.992308501998984	96.54604903821996	-52.64584814042737	129.59895973756056
14060.702675352717	-4240.673413301648	1374.3463890978016	2793.6788595741828	8616.158632612489	-475.5159922942029	-72.27244062027718	-52.64584814042737	80.46922464153744	-49.6418391460316
-9664.264255301465	4071.091639288159	-1220.742055868415	-2348.407283895927	-5683.786645248454	406.6395165398842	58.11951366498289	129.59895973756056	-49.6418391460316	182.7329139342735
