# Om  Ob w0  wa h  ns  s8
120101.1658529395 -304861.2801617275 -3272.2318301374 269.9542590934 49653.6238064403 32782.4024774537 -16482.0133742854
-304861.2801616768 1433561.0231853274 -21383.6316602092 -3566.7031090866 -292011.3903834741 -86115.9092053646 -28420.2657240631
-3272.2318301415 -21383.6316602009 2511.8384791399 606.2292383155 20199.7991523151 -1901.8263193773 -199.1984367790
269.9542590931 -3566.7031090866 606.2292383155 274.6257928574 9221.2121891623 -692.0925281331 -2579.6329551003
49653.6238064519 -292011.3903835135 20199.7991523142 9221.2121891619 361645.6895439618 -8297.1827267274 -97448.3850903229
32782.4024774550 -86115.9092053932 -1901.8263193750 -692.0925281328 -8297.1827267295 15211.7795385029 3973.2617674802
-16482.0133742987 -28420.2657240272 -199.1984367791 -2579.6329551003 -97448.3850903245 3973.2617674746 57590.7712487717
