# Om  Ob  h  ns w0 wa s8
131276.4245408720 -312530.1280246734 83494.7096665481 35613.8636327836 -3591.2337502452 729.0010686689 -28442.6208286994
-312530.1280246550 1405158.6380877297 -326334.5756064584 -83748.3362623806 -21089.9996557417 -4660.3747761110 -3523.5974344282
83494.7096666061 -326334.5756065178 445911.8091192445 5071.2267159597 17963.7719997181 9631.1495481638 -118687.7950049278
35613.8636327739 -83748.3362623610 5071.2267159264 14474.6832129266 -1735.9067110885 -325.6384669721 -2873.6398420010
-3591.2337502446 -21089.9996557375 17963.7719997211 -1735.9067110878 2416.2607349721 539.1597335036 726.1717529813
729.0010686700 -4660.3747761114 9631.1495481635 -325.6384669714 539.1597335035 244.2297068614 -2319.9832183984
-28442.6208287213 -3523.5974344003 -118687.7950049128 -2873.6398420122 726.1717529833 -2319.9832183981 57358.3116794113
