# Om  Ob  w0 wa h  ns s8 lnbs81 Ps1 lnbs82 Ps2 lnbs83 Ps3 lnbs84 Ps4
477135.6859648012 -464471.0852811889 42656.9665534304 11763.2665010290 -566131.6544901957 56165.6060653115 37386.1744458767 81168.5724161667 4.8158004056 101098.8275156873 5.4969827399 104615.4933493727 5.4418539437 119594.7403104038 6.3039847014
-464471.0852811889 3388558.5601132168 222780.8424325748 51612.8279832087 -2262283.9228579029 -692544.9619936647 278825.0879513836 289675.6646021277 6.4234627641 317476.7487465520 6.8680263253 315842.9425198572 6.6209939462 401369.3844760659 8.1068208826
42656.9665534304 222780.8424325748 45853.9092133516 10566.6923558748 -377180.0541969626 -82780.5894294691 53721.5172929673 62459.7326972883 2.0281322305 66980.3520004947 2.1060109717 63475.8253528225 1.9384464552 72448.8131075985 2.1530795912
11763.2665010290 51612.8279832087 10566.6923558748 2576.5859723135 -82560.5645432706 -19027.2532027708 9772.7941318796 13010.4530145662 0.4293056504 15088.2988207203 0.4814970069 15134.6675644842 0.4686581080 18108.2580399511 0.5447015690
-566131.6544901957 -2262283.9228579029 -377180.0541969626 -82560.5645432706 4129838.9621808170 663358.9689815446 -590153.8455493208 -603802.8470924976 -20.9624689252 -634368.5526777651 -21.4309172812 -596728.3143665772 -19.6700989184 -677596.8944936948 -21.8728511255
56165.6060653115 -692544.9619936647 -82780.5894294691 -19027.2532027708 663358.9689815446 205420.3658984545 -97614.0819365982 -101016.0237685152 -2.4783598960 -109420.7577086251 -2.6093280636 -107520.9362234571 -2.4942757521 -132786.5774566053 -2.9923933215
37386.1744458767 278825.0879513836 53721.5172929673 9772.7941318796 -590153.8455493208 -97614.0819365982 124834.4658331032 81468.2168842359 2.5853669088 83376.7724880666 2.5829660781 76972.2798009005 2.3373427649 87091.8294902429 2.6024387934
81168.5724161667 289675.6646021277 62459.7326972883 13010.4530145662 -603802.8470924976 -101016.0237685152 81468.2168842359 393823.7997908986 13.6419660374 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.8158004056 6.4234627641 2.0281322305 0.4293056504 -20.9624689252 -2.4783598960 2.5853669088 13.6419660374 0.0005408087 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
101098.8275156873 317476.7487465520 66980.3520004947 15088.2988207203 -634368.5526777651 -109420.7577086251 83376.7724880666 0.0000000000 0.0000000000 420136.4347738030 14.1549351674 0.0000000000 0.0000000000 0.0000000000 0.0000000000
5.4969827399 6.8680263253 2.1060109717 0.4814970069 -21.4309172812 -2.6093280636 2.5829660781 0.0000000000 0.0000000000 14.1549351674 0.0005470417 0.0000000000 0.0000000000 0.0000000000 0.0000000000
104615.4933493727 315842.9425198572 63475.8253528225 15134.6675644842 -596728.3143665772 -107520.9362234571 76972.2798009005 0.0000000000 0.0000000000 0.0000000000 0.0000000000 400676.6528042893 13.1666723736 0.0000000000 0.0000000000
5.4418539437 6.6209939462 1.9384464552 0.4686581080 -19.6700989184 -2.4942757521 2.3373427649 0.0000000000 0.0000000000 0.0000000000 0.0000000000 13.1666723736 0.0004987384 0.0000000000 0.0000000000
119594.7403104038 401369.3844760659 72448.8131075985 18108.2580399511 -677596.8944936948 -132786.5774566053 87091.8294902429 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 461117.2789150670 14.8366660935
6.3039847014 8.1068208826 2.1530795912 0.5447015690 -21.8728511255 -2.9923933215 2.6024387934 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 14.8366660935 0.0005570747
