2  3.8591	3.012004e-02	-1.007370e+00	4.840434e-02	6.679234e-01	9.579198e-01	8.158204e-01	3.202872e-01	1.100479e+00	1.220388e+00	1.272146e+00	1.316169e+00	1.356781e+00	1.398551e+00	1.442212e+00	1.494394e+00	1.563313e+00	1.739812e+00	1.683591e+00	-3.901430e-01	
1  2.72497	1.163080e-02	-1.000630e+00	4.660909e-02	6.552282e-01	9.613176e-01	8.162659e-01	3.198064e-01	1.098421e+00	1.218144e+00	1.270085e+00	1.313962e+00	1.355366e+00	1.396945e+00	1.440950e+00	1.493257e+00	1.562899e+00	1.738914e+00	1.688821e+00	-3.923681e-01	
16  4.24241	1.729199e-01	-1.049890e+00	4.781168e-02	6.680361e-01	9.592325e-01	8.179325e-01	3.175842e-01	1.102401e+00	1.222792e+00	1.274423e+00	1.317443e+00	1.357900e+00	1.399398e+00	1.442398e+00	1.494368e+00	1.562519e+00	1.738340e+00	1.654992e+00	-3.647613e-01	
1  3.47929	2.031298e-01	-1.056040e+00	5.008290e-02	6.781252e-01	9.581545e-01	8.189090e-01	3.169456e-01	1.101543e+00	1.221611e+00	1.272898e+00	1.315811e+00	1.356188e+00	1.397198e+00	1.440466e+00	1.492018e+00	1.559594e+00	1.736073e+00	1.672622e+00	-3.743876e-01	
6  3.64705	2.396009e-01	-1.062337e+00	5.006340e-02	6.755556e-01	9.592868e-01	8.197262e-01	3.162219e-01	1.100655e+00	1.220316e+00	1.271397e+00	1.313888e+00	1.354398e+00	1.395018e+00	1.438409e+00	1.489691e+00	1.557026e+00	1.733340e+00	1.664592e+00	-3.682039e-01	
1  6.10495	2.396009e-01	-1.062337e+00	5.006340e-02	6.755556e-01	9.592868e-01	8.197262e-01	3.162219e-01	1.101164e+00	1.219522e+00	1.272456e+00	1.313983e+00	1.354962e+00	1.394203e+00	1.438518e+00	1.490295e+00	1.558255e+00	1.732937e+00	1.700460e+00	-3.782416e-01	
1  5.88669	2.396009e-01	-1.062337e+00	5.006340e-02	6.755556e-01	9.592868e-01	8.197262e-01	3.162219e-01	1.100682e+00	1.219427e+00	1.271774e+00	1.314218e+00	1.354580e+00	1.394134e+00	1.439544e+00	1.489291e+00	1.559436e+00	1.731659e+00	1.604664e+00	-3.254337e-01	
6  5.80885	2.396009e-01	-1.062337e+00	5.006340e-02	6.755556e-01	9.592868e-01	8.197262e-01	3.162219e-01	1.100884e+00	1.219768e+00	1.271860e+00	1.313894e+00	1.354632e+00	1.394624e+00	1.437604e+00	1.490114e+00	1.558656e+00	1.731258e+00	1.726064e+00	-3.953217e-01	
4  6.48001	2.396009e-01	-1.062337e+00	5.006340e-02	6.755556e-01	9.592868e-01	8.197262e-01	3.162219e-01	1.100785e+00	1.219541e+00	1.272340e+00	1.313932e+00	1.354134e+00	1.395840e+00	1.436279e+00	1.489596e+00	1.558239e+00	1.731441e+00	1.696012e+00	-3.847909e-01	
2  6.82714	7.642858e-02	-1.006492e+00	5.037473e-02	6.664823e-01	9.585795e-01	8.160607e-01	3.210550e-01	1.099861e+00	1.217536e+00	1.270200e+00	1.312715e+00	1.352711e+00	1.394622e+00	1.436185e+00	1.489152e+00	1.558420e+00	1.732325e+00	1.721489e+00	-4.108456e-01	
2  7.03739	-1.246593e-02	-9.866382e-01	5.053075e-02	6.657832e-01	9.590250e-01	8.163847e-01	3.210005e-01	1.097242e+00	1.215222e+00	1.267895e+00	1.311461e+00	1.352109e+00	1.394198e+00	1.436478e+00	1.489730e+00	1.560034e+00	1.734234e+00	1.769009e+00	-4.400737e-01	
7  7.58679	1.732546e-02	-1.003714e+00	5.021155e-02	6.616142e-01	9.644322e-01	8.166719e-01	3.197986e-01	1.098754e+00	1.218181e+00	1.272131e+00	1.315097e+00	1.357167e+00	1.399068e+00	1.441772e+00	1.495124e+00	1.565876e+00	1.740915e+00	1.831637e+00	-4.689203e-01	
3  8.83417	1.732546e-02	-1.003714e+00	5.021155e-02	6.616142e-01	9.644322e-01	8.166719e-01	3.197986e-01	1.098415e+00	1.217657e+00	1.272492e+00	1.315617e+00	1.357053e+00	1.399896e+00	1.441319e+00	1.494777e+00	1.564762e+00	1.741348e+00	1.801880e+00	-4.587618e-01	
3  9.37078	1.732546e-02	-1.003714e+00	5.021155e-02	6.616142e-01	9.644322e-01	8.166719e-01	3.197986e-01	1.098680e+00	1.218249e+00	1.272261e+00	1.316204e+00	1.355996e+00	1.399245e+00	1.441156e+00	1.494464e+00	1.566109e+00	1.740893e+00	1.750322e+00	-4.204674e-01	
4  8.03584	1.732546e-02	-1.003714e+00	5.021155e-02	6.616142e-01	9.644322e-01	8.166719e-01	3.197986e-01	1.098790e+00	1.219031e+00	1.271494e+00	1.316784e+00	1.356950e+00	1.398033e+00	1.442614e+00	1.494940e+00	1.564745e+00	1.741242e+00	1.752512e+00	-4.157288e-01	
5  7.83678	-6.225583e-04	-1.002436e+00	4.721355e-02	6.445497e-01	9.680526e-01	8.159339e-01	3.198073e-01	1.099909e+00	1.220898e+00	1.273911e+00	1.319176e+00	1.359909e+00	1.401507e+00	1.446221e+00	1.498846e+00	1.569308e+00	1.745138e+00	1.741524e+00	-4.066268e-01	
2  7.52385	-6.225583e-04	-1.002436e+00	4.721355e-02	6.445497e-01	9.680526e-01	8.159339e-01	3.198073e-01	1.100363e+00	1.220803e+00	1.273397e+00	1.318282e+00	1.360192e+00	1.402892e+00	1.446633e+00	1.498478e+00	1.570659e+00	1.745807e+00	1.780901e+00	-4.297731e-01	
