8  1.78797	-1.066467e+00	1.341132e-01	4.962993e-02	6.723256e-01	9.583753e-01	8.287994e-01	3.190245e-01	-1.058700e+00	1.641346e+00	3.376593e+00	4.232401e+00	-3.184457e-01	-3.093338e-01	-3.052666e-01	-3.141475e-01	
14  3.89767	-1.066467e+00	1.341132e-01	4.962993e-02	6.723256e-01	9.583753e-01	8.287994e-01	3.190245e-01	-3.426032e+00	1.135966e+01	1.020955e+00	2.292852e+01	-3.188953e-01	-3.098422e-01	-3.047379e-01	-3.150443e-01	
5  4.07455	-1.066467e+00	1.341132e-01	4.962993e-02	6.723256e-01	9.583753e-01	8.287994e-01	3.190245e-01	-1.491880e+01	1.268860e+00	1.673412e+01	2.525363e+01	-3.171309e-01	-3.093401e-01	-3.069056e-01	-3.161212e-01	
8  4.90806	-1.066467e+00	1.341132e-01	4.962993e-02	6.723256e-01	9.583753e-01	8.287994e-01	3.190245e-01	-1.114819e+01	-2.063576e+00	1.419041e+01	1.918978e+01	-3.182498e-01	-3.092869e-01	-3.066456e-01	-3.172372e-01	
2  3.38367	-1.006235e+00	-6.431218e-02	5.042193e-02	6.707201e-01	9.505422e-01	8.183651e-01	3.247448e-01	-4.978450e+00	2.753107e+00	1.826279e+01	2.281106e+01	-3.250259e-01	-3.157734e-01	-3.129427e-01	-3.233892e-01	
6  2.66661	-1.006235e+00	-6.431218e-02	5.042193e-02	6.707201e-01	9.505422e-01	8.183651e-01	3.247448e-01	-7.652987e+00	8.043623e+00	9.908359e-01	2.179786e+01	-3.240141e-01	-3.164478e-01	-3.114774e-01	-3.221235e-01	
3  2.944	-1.006235e+00	-6.431218e-02	5.042193e-02	6.707201e-01	9.505422e-01	8.183651e-01	3.247448e-01	9.336273e+00	2.815286e+00	4.630809e+00	8.715153e+00	-3.253295e-01	-3.154808e-01	-3.118280e-01	-3.220409e-01	
6  3.91435	-1.012929e+00	-4.500614e-02	5.075793e-02	6.704212e-01	9.545594e-01	8.135132e-01	3.217582e-01	1.028206e+01	3.825486e+00	5.993801e+00	1.097808e+01	-3.228706e-01	-3.129988e-01	-3.093614e-01	-3.196454e-01	
3  3.36482	-1.012929e+00	-4.500614e-02	5.075793e-02	6.704212e-01	9.545594e-01	8.135132e-01	3.217582e-01	9.143302e+00	1.590349e+01	8.400526e+00	2.209372e+01	-3.236875e-01	-3.149630e-01	-3.089181e-01	-3.195695e-01	
12  4.71745	-1.012929e+00	-4.500614e-02	5.075793e-02	6.704212e-01	9.545594e-01	8.135132e-01	3.217582e-01	1.264208e+01	5.917249e+00	2.011798e+01	1.245135e+01	-3.246316e-01	-3.138186e-01	-3.096481e-01	-3.174212e-01	
